"ITEM_TYPE_DISCUSSION";"Discussions"
"ITEM_TYPE_ARTICLE";"Article"
"AS_Nothing found";"Nothing found"
"AS_Advanced Search";"HE - Advanced Search"
"AS_Advanced Search Configuration";"Advanced Search Configuration"
"AS_Save changes";"Save changes"
"AS_Search types";"Search types"
"AS_Items icons";"Item icons"
"AS_item";"Item"
"AS_icon";"Icon"
"AS_change";"Change"
"AS_Changes saved";"Changes saved"
"AS_more";"More"
"AS_music_playlist";"Page music"
"ITEM_TYPE_HECONTEST";"Contests"
"ITEM_TYPE_HECONTEST_PHOTO";"Photos"
"ITEM_TYPE_MUSIC";"Music"
"ITEM_TYPE_VIDEO";"Videos"
"ITEM_TYPE_REVIEW";"Reviews"
"ITEM_TYPE_EVENT";"Events"
"ITEM_TYPE_ALBUM";"Albums"
"ITEM_TYPE_BLOG";"Blogs"
"ITEM_TYPE_QUIZ_RESULT";"Quiz Result"
"Select/Deselect All";"Check\Uncheck All"
"AS_Add items which will be included in search";"Add items which will be included in search"
"AS_Your changes have been saved.";"Your changes have been saved."
"AS_Configure your items icons";"Configure your items icons"
"AS_likes";" likes"
"AS_photos";" photos"
"AS_views";" views"
"AS_view";"View"
"AS_members";" members"
"AS_like_count";"Like count"
"AS_count_album";"Photos"
"AS_photo_album";"Photos"
"AS_count_album_photos_in_page";"Photos"
"AS_members_count";"Members count"
"AS_raised";"Raised"
"AS_supporters";"Supporters"
"AS_vote";"Vote"
"AS_take";"Take"
"AS_plays";"Plays"
"AS_friend";"Friend"
"AS_birthday";"Birthday"
"AS_price";"Price"
"AS_date_end";"Date end"
"AS_participants";"Participants"
"AS_album";"Albums"
"AS_pagealbum";"Page albums"
"AS_blog";"Blogs"
"AS_pageblog";"Page blogs"
"AS_donation";"Donations"
"AS_core_link";"Links"
"AS_event";"Events"
"AS_pageevent";"Page events"
"AS_group";"Groups"
"AS_hecontest";"Contests"
"AS_hecontest_photo";"Contest photos"
"AS_hequestion";"Questions"
"AS_offer";"Offers"
"AS_page";"Pages"
"AS_quiz";"Quizzes"
"AS_store_product";"Store products"
"AS_user";"Users"
"AS_video";"Videos"
"AS_pagediscussion_pagepost";"Page discussion posts"
"AS_pagediscussion_pagetopic";"Page discussion topics"
"AS_forum_post";"Forum posts"
"AS_forum_topic";"Forum topics"
"AS_pagereview";"Page review"
"AS_playlist";"Playlists"
"AS_show_all";"Show all: "
"ITEM_TYPE_STORE_VIDEO";"Store video"
"ITEM_TYPE_PAGEEVENT";"Page event"
"ITEM_TYPE_PAGEALBUM";"Page album"
"ITEM_TYPE_PAGEALBUMPHOTO";"Page album photo"
"ITEM_TYPE_PAGEDISCUSSION_PAGEPOST";"Page discussion post"
"ITEM_TYPE_PAGEDISCUSSION_PAGETOPIC";"Page discussion topic"
"Everywhere";"Everywhere"
"AS_Search_placeholder";"Search"
"ITEM_TYPE_STOREBUNDLE";"Store Bundle"