"HECOMMENT_He-Comment Plugin";"He-Comment Plugin"
"HECOMMENT_Global Settings";"Global Settings"
"HECOMMENT_These settings affect all members in your community.";"These settings affect all members in your community."
"HECOMMENT_Save Changes";"Save Changes"
"HECOMMENT_Your changes have been saved.";"Your changes have been saved."
"HECOMMENT_Enable";"Enable"
"HECOMMENT_Advanced comments notifications";"Advanced comments notifications"
"HECOMMENT_Replace standard comment widget";"Replace standard comment widget"
"or Cancel";"or Cancel"
"Edit Comment";"Edit Comment"
"Post Comment";"Post Comment"
"Do you want to delete this?";"Do you want to delete this?"
"HECOMMENT_Hide reply";"Hide reply";"Hide replies"
"HECOMMENT_View %s Reply";"View %s Reply";"View %s Replies"
"HECOMMENT_Enable edit comments";"Enable edit comments"
"HECOMMENT_Hide comment replies";"Hide comment replies"