"HE-Emoticon";"HE-Emoticon"
"Collections";"All Collections"
"New collection";"New collection"
"Your level does not permit to see this collection.";"Your level does not permit to see this collection."
"Sticker Store";"Sticker Store"
"HE-Emoticon Emoticon Plugin";"Stickers & Emoticons"
"HE-Emoticon Collection Name";"Collection Name"
"HE-Emoticon Author";"Author"
"HE-Emoticon Collection Description";"Collection Description"
"HE-Emoticon Stickers Count";"Stickers Count"
"HE-Emoticon Sticker images";"Sticker images"
"HE_emoticon_Add";"Add"
"HE-Emoticon Name";"Name"
"HE-Emoticon Description";"Description"
"Loading";"Loading"
"Sticker Store";"Sticker Store"
"Find new stickers to send to friends";"Find new stickers to send to friends"

"HE-Emoticon Add Collection";"Add Collection"
"HE-Emoticon Add Stickers";"Add Stickers"
"HE-Emoticon Clear list";"Clear list"


"HE-Emoticon_Are you sure you want to delete this collection?";"Are you sure you want to delete this collection?"
"HE-Emoticon_There are currently no collections.";"There are currently no collections."

"HE-Emoticon Price";"Price"
"HE-Emoticon Type";"Type"
"HE-Emoticon Free";"Free"
"HE-Emoticon Paid";"Paid"
"HE-Emoticon_CREDIT_MODULE_STATUS";"Please install the latest version of <a href=""http://www.hire-experts.com/social-engine/credits-plugin"" target=""_blank"">Credits plugin</a>"
" credits";" credits"
"Add";"Add"
"Buy";"Buy"
"Remove";"Remove"
"Buy with ";"Buy with "
"Not enough credits";"Not enough credits"
"more";"more"
"Free";"Free"