"There is no blogs.";"There are no blogs."
"...";"..."
"Posted";"Posted"
"Filed in";"Filled in"
"%1$s\'s Blog";"%1$s\'s Blog"
"All";"All"
"Mine";"Mine"
"Create";"Create"
"edit";"edit"
"delete";"delete"
"Delete Blog";"Delete Blog"
"pageblog_NEW_BLOG_DESCRIPTION_FORM";"Compose your new blog entry below, then click ""Post Entry"" to publish the entry to pages blog."

"Are you sure you want to delete this blog?";"Are you sure you want to delete this blog?"
"There was error.";"There was error."

"ITEM_TYPE_PAGEBLOG";"Page Blogs"
"_ACTIVITY_ACTIONTYPE_COMMENT_PAGEBLOG";"Comments on page blogs"
"_ACTIVITY_ACTIONTYPE_PAGEBLOG_NEW";"New blogentry in page"
"ADMIN_ACTIVITY_TYPE_COMMENT_PAGEBLOG";"When someone comments on Page Blog"
"ADMIN_ACTIVITY_TYPE_PAGEBLOG_NEW";"When someone writes new Page Blog"
"pageblog_Browse Blogs";"Browse Blogs"
"pageblog_Manage Blogs";"Manage Blogs"
"pageblog_Compose New Blog Entry";"Compose New Blog Entry"
"{actors:$subject:$object} posted new blog entry {var:$link}: {body:$body}";"{actors:$subject:$object} posted new blog entry {var:$link}: {body:$body}"
"{actors:$subject:$object} commented on {item:$owner}'s blog entry {var:$link}: {body:$body}";"{actors:$subject:$object} commented on {item:$owner}'s blog entry {var:$link}: {body:$body}"

"Nobody has created a blog yet.";"Nobody has created a blog yet."
"Separate tags with commas.";"Separate tags with commas."
"Tags (Keywords)";"Tags (Keywords)"
"Post Entry";"Post Entry"
"New Blog Entry";"New Blog Entry"
"ACTIVITY_TYPE_POST_PAGEBLOG";"When people post a blog on my page."
"On page ";"On page "
"PageBlogs";"PageBlogs"
"Page Blogs Browse Search";"Page Blogs Browse Search"
"Page Blogs";"Page Blogs"
"Page Blog Browse Menu";"Page Blog Browse Menu"
"All Blogs Browse Search";"All Blogs Browse Search"
"All Blogs";"All Blogs"
"Show";"Show"
"My Blogs";"My Blogs"
"My Friends' Blogs";"My Friends' Blogs"
"This page displays a page blogs";"This page displays a page blogs"
"Browse Blogs";"Browse Blogs"
"Page Blogs Manage";"Page Blogs Manage"
"This page displays a viewers pageblogs";"This page displays a viewers pageblogs"
"This page displays a page musics";"This page displays a page musics"
"Page Musics  Manage";"Page Musics  Manage"
"This page displays a viewers pagemusics";"This page displays a viewers pagemusics"
"Displays the page's blogs.";"Displays the page's blogs."
"Unite Blogs";"Unite Blogs"
"Display Blogs from Pages in common Blogs section?";"Display Blogs from Pages in common Blogs section?"
"Blogs Per Page";"Blogs Per Page"
"How many blogs will be shown per page?";"How many blogs will be shown per page?"
"Page Blog Plugin";""
"PAGEBLOGS_SETTINGS_TITLE";"Page-Blogs Extension"
"PAGEBLOGS_SETTINGS_DESCRIPTION";"If you would like display blog entries from Pages in common Blogs section(SocialEngine Blog plugin) then just enable `Unite Blogs` setting below. In this case all blog entries will be displayed on Browse Blog page according to privacy of each blog. <br/> You still can edit widgets on Blog pages - Admin Panel > Layout > Layout Editor > All Blogs Browse page."
"pageblog_Not a valid request data.";"Not a valid request data."
"Pageblog_Add_Photo";"Add Main Photo"
"Main Photo";"Main Photo"
"Pageblog_Title_Empty";"Title is required!"
"Pageblog_Body_Empty";"Body is required!"