"Touch"; "Touch"
"TOUCH_MODE"; "Touch"
"Touch rate settings"; "Rating Settings"
"Touch Profile Status"; "Touch Profile Status"
"pagetitle-touch-index-admin-index";"Touch-Mobile Dashboard"
"pagetitle-touch-index-admin-content";"Touch Layout Editor"
"pagetitle-touch-index-admin-themes";"Touch Theme Editor"
"pagetitle-touch-index-admin-menus";"Touch Menu Editor"
"pagetitle-touch-index-admin-settings";"Touch Settings"
"pagetitle-touch-performance-admin-settings";"Touch Performance Settings"
"pagetitle-touch-index-admin-plugin-settings";"Touch-Rating Settings"
"pagetitle-touch-app-icon-set-admin-settings";"Touch Home Screen Icon"
"pagetitle-touch-index-admin-stats";"Touch Statistics"
"pagetitle-touch-global-stats-admin-stats";"Worldwide Mobile Statistics"
"pagetitle-touch-simple-utility";"pagetitle-touch-simple-utility"
"pagetitle-touch-error-error";"pagetitle-touch-error-error"
"Plugin Usage Stats";"Plugin Usage Stats"
"Plugin Information";"Plugin Information"
"Sorry, this content is not currently available in this version of Touch-Mobile or requested page doesn't exist. You can view this content on";"Sorry, this content is not currently available in this version of Touch-Mobile or requested page doesn't exist. You can view this content on"
"Touch-Mobile";"Touch-Mobile"
"Touch Plugin";"Touch-Mobile Plugin"
"TOUCH_View Upcoming Events"; "View Upcoming Events"
"TOUCH_DESCRIPTION_LOGIN"; "If you already have an account, please enter your login details below."
"TOUCH_BACK_TO_HOME"; "Back home"
"TOUCH_LOGIN";"Sign In"
"TOUCH_Incorrect username or user has been blocked. Please, check field \'Send to\' and try again.";"Incorrect username or user has been blocked. Please, check field \'Send to\' and try again."
"TOUCH_Please type your post\'s body!";"Please type your post\'s body"
"TOUCH_Please type your comment\'s body!";"Please type your comment\'s body"
"TOUCH_Layout Editor";"Touch-Mobile Layout Editor"
"TOUCH_LAYOUT_DESC";"Use the layout editor to decide what content appears on specific pages or in your site-wide header and footer. Click and drag the colored "blocks" to arrange the content you want on each page. Drag blocks to and from the "Available Blocks" area to add or remove them from your page."
"TOUCH_ADMIN_DASHBOARD";"Touch-Mobile plugin allows your members to access your site using modern mobile devices(iPhone, Android, BlackBerry, iPad and many more). It allows members to upload images, YouTube and Vimeo video sources, participate in groups, attend events, read blogs, update profile status, comment, like, suggest to friends, read messages,  etc.<br />
It requires mobile devices to support Javascript, Ajax; Flash or Youtube/Vimeo applications to play videos, Picup application for Iphone to upload files.<br />"

"TOUCH_Page Not Found";"Page Not Found"
"TOUCH_The page you have attempted to access could not be found.";"The page you have attempted to access could not be found."
"TOUCH_Searching";"Searching"
"TOUCH_What's on your mind?";"What's on your mind?"
"TOUCH_Search Memebers";"Search Members"
"TOUCH_Search Albums";"Search Albums"
"TOUCH_Search My Albums";"Search My Albums"
"TOUCH_Delete This";"Delete This"
"%1$s\'s Profile";"%1$s\'s Profile"
"TOUCH_Back to Album";"Back to Album"
"TOUCH_Photo %1$s of %2$s";"Photo %1$s of %2$s"
"TOUCH_this photo";"this photo"
"TOUCH_Back to Album";"Back to Album"
"TOUCH_Import"; "Import"
"TOUCH_Search Events"; "Search Events"
"TOUCH_Search Members"; "Search Members"
"TOUCH_Search Messages"; "Search Messages"
"TOUCH_Search Blogs"; "Search Blogs"
"TOUCH_Search Groups"; "Search Groups"
"TOUCH_Search Classifieds"; "Search Classifieds"
"TOUCH_Search Photos"; "Search Photos"
"TOUCH_Search"; "Search"
"TOUCH_Search Videos"; "Search Videos"

"TOUCH_PAGE_PAYMENT_NOT_SUPPORTED"; "Payment not supported in mobile version. Please use full site version to continue"
"TOUCH_LOGIN_DESCRIPTION"; "If you have already got an account, please enter your details below."

"TOUCH_WIDGET_NOITEMS"; "You do not have any items that match your search criteria"

"TOUCH_Back to Photos"; "Back to Photos"
"TOUCH_BACK_TO_ITEM"; "Back to %s"

"TOUCH_contacts";"contacts"
"TOUCH_CLASSIFIED_NOPHOTOS"; "You do not have any images that match your search criteria"
"TOUCH_ITEM_NO_PHOTOS"; "You do not have any images that match your search criteria"
"TOUCH_Album has been successfully created.";"Album has been successfully created ."

"TOUCH_BLOG_FORM_CREATE_SUCCESS"; "Blog entry has been successfully created."
"TOUCH_BLOG_FORM_EDIT_SUCCESS"; "Blog entry has been successfully saved."
"TOUCH_EVENT_FORM_CREATE_SUCCESS"; "Event has been successfully created."
"TOUCH_EVENT_FORM_EDIT_SUCCESS"; "Event has been successfully saved."
"TOUCH_GROUP_FORM_CREATE_SUCCESS"; "Group has been successfully created."
"TOUCH_GROUP_FORM_EDIT_SUCCESS"; "Group has been successfully saved."
"TOUCH_CLASSIFIED_FORM_CREATE_SUCCESS"; "Classified has been successfully created."
"TOUCH_CLASSIFIED_FORM_EDIT_SUCCESS"; "Classified has been successfully saved."
"TOUCH_Changes have been saved.";"Changes have been saved."
"TOUCH_Back to Albums";"Back to Albums"
"TOUCH_CLASSIFIED_CLOSED"; "Classified has been successfully closed."
"TOUCH_CLASSIFIED_OPENED"; "Classified has been successfully opened."
"TOUCH_VIDEO_FORM_CREATE_SUCCESS"; "Video has been successfully created."
"TOUCH_VIDEO_FORM_EDIT_SUCCESS"; "Video has been successfully saved."

"TOUCH_Delete Classified Photo"; "Delete Classified Photo"
"TOUCH_Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
"TOUCH_Select a sample image to add to %1$s";"Select a sample image to add to %1$s"
"TOUCH_Choose Photo...";"Choose Photo..."
"TOUCH_File Upload";"File Upload"
"TOUCH_Loading...";"Loading..."
"TOUCH_NOT_SUPPORTED_FLASH"; "Your mobile device does not support flash."
"TOUCH_Picup application is required! If you can't upload photo, please use the following url to install Picup application. %s";"Picup application is required! If you can't upload photo, please use the following url to install Picup application. %s"
"TOUCH_Available in the AppStore";"Available in the AppStore"
"TOUCH_Registration has been successfully completed.";"Registration has been successfully completed."
"TOUCH_Touch plugin does not support %s plugin.";"Touch plugin does not support the %s  plugin."
"TOUCH_Not Support";"Unfortunately requested page is not supported in Mobile yet."
"TOUCH_Choose friends from list.";"Choose friends from list."
"TOUCH_Your suggestions were successfully sent.";"Your suggestions were successfully sent."
"TOUCH_Your suggestions were not sent.";"Your suggestions were not sent."
"TOUCH_Suggestion of this type was turned off by site admin.";"Suggestion of this type was turned off by site admin."
"TOUCH_Suggest To Friends";"Suggest To Friends"
"TOUCH_Search contacts";"Search contacts"
"TOUCH_Search Friends";"Search Friends"
"TOUCH_Posting";"Posting..."
"TOUCH_PHOTOS_UPLOAD";"The photo has been successfully uploaded"
"Recommendations";"Recommendations"
"%d Members Online";"%d Members Online"
"Member Home Page";"Member Home Page"
"This is the home page for members.";"This is the home page for members."
"Loading";"Loading"
"Dashboard";"Dashboard"
"Go to back";"Go to back"
"Member Profile";"Member Profile"
"This is a member's profile.";"This is a member's profile."
"contacts";"contacts"
"Send to";"Send to"
"Add";"Add"
"More";"More"
"My Notifications";"My Notifications"
"My Requests";"My Requests"
"Back to Albums";"Back to Albums"
"This is the dashboard";"This is the dashboard"
"Suggest To Friends";"Suggest To Friends"
"Event Profile";"Event Profile"
"This is the profile for an event.";"This is the profile for an event."
"Suggest";"Suggest"
"Group Profile";"Group Profile"
"This is the profile for an group.";"This is the profile for an group."
"Success!";"Success!"
"TOUCH_Select a sample image to add to album.";"Select a sample image to add to album."
"TOUCH_Picup application is required! If you can't upload photo, please follow the following url to install Picup application. %s";"Picup application is required! If you can't upload photo, please follow the following url to install Picup application. %s"

"TOUCH_Copy theme to touch";"Copy to touch"


"TOUCH_SETTING_TITLE";"Rating Settings in Touch-Mobile"
"TOUCH_SETTING_DESCRIPTION";"Please make sure the setting below are correct. You can control where rating option will be displayed."

"TOUCH_SHOW_RATE_BROWSE_LABEL";"Yes, Enabled"
"TOUCH_SHOW_RATE_BROWSE";"Show rating on browse pages?"

"TOUCH_SHOW_RATE_WIDGET_LABEL";"Yes, Enabled"
"TOUCH_SHOW_RATE_BROWSE";"Show rating on browse pages?"

"TOUCH_SHOW_RATE_WIDGET";"Show rate widget on page view?"


"TOUCH_BLOG_RATE_BROWSE_LABEL";"Enable"
"TOUCH_BLOG_RATE_BROWSE";"Show rating on Browse Blogs page?"

"TOUCH_BLOG_RATE_WIDGET_LABEL";"Enable"
"TOUCH_BLOG_RATE_WIDGET";"Show rating on Blog widgets"

"TOUCH_MEMBER_RATE_BROWSE_LABEL";"Enable"
"TOUCH_MEMBER_RATE_BROWSE";"Show rating on Browse Members page?"

"TOUCH_EVENT_RATE_BROWSE_LABEL";"Enable"
"TOUCH_EVENT_RATE_BROWSE";"Show rating on Browse Events page?"

"TOUCH_GROUP_RATE_BROWSE_LABEL";"Enable"
"TOUCH_GROUP_RATE_BROWSE";"Show rating on Browse Groups page?"

"TOUCH_CLASSIFIED_RATE_BROWSE_LABEL";"Enable"
"TOUCH_CLASSIFIED_RATE_BROWSE";"Show rating on Browse Classifieds page?"

"TOUCH_ALBUM_RATE_BROWSE_LABEL";"Enable"
"TOUCH_ALBUM_RATE_BROWSE";"Show rating on Browse Albums page?"

"TOUCH_ALBUM_RATE_WIDGET_LABEL";"Enable"
"TOUCH_ALBUM_RATE_WIDGET";"Show rating on Albums widgets?"

"TOUCH_ARTICLE_RATE_BROWSE_LABEL";"Enable"
"TOUCH_ARTICLE_RATE_BROWSE";"Show rating on Browse Articles page"

"TOUCH_ARTICLE_RATE_MANAGE_LABEL";"Enable"
"TOUCH_ARTICLE_RATE_MANAGE";"Show rating on Manage Articles page"

"TOUCH_ARTICLE_RATE_WIDGET_LABEL";"Enable"
"TOUCH_ARTICLE_RATE_WIDGET";"Show rating on Article page"



"TOUCH_Search Pages";"Search Pages"
"TOUCH_Page created successfully";"Page created successfully!"

"TOUCH_PAGE_BLOGS";"Blogs"

"TOUCH_PAGE_NOTE";"Note"
"TOUCH_Your changes have been saved.";"Your changes have been saved."
"TOUCH_PAGE_POST_SUBMIT";"Post Note"
"TOUCH_PAGE_BLOGS";"Blogs"
"TOUCH_PLUGIN_SETTINGS";"Plugin Settings"

"TOUCH_PAGE_EVENTS";"Events"

"TOUCH_PAGE_EVENT_MEMBERS"; "Members: "
"TOUCH_PAGE_EVENT_MEMBERS_ATTENDING"; "Attending"
"TOUCH_PAGE_EVENT_MEMBERS_MAYBE_ATTENDING"; "Maybe Attending"
"TOUCH_PAGE_EVENT_MEMBERS_NOT_ATTENDING"; "Not Attending"
"TOUCH_PAGE_EVENT_MEMBERS_WAITING"; "Waitings"
"TOUCH_FRIEND_TAB"; "Friends"
"TOUCH_NO_ITEMS"; "No Items"
"TOUCH_ERROR"; "An error occurred."



"TOUCH_ARTICLE_FORM_DELETE_SUCCESS";          "The article successfully has been deleted"
"TOUCH_ARTICLE_FORM_EDIT_SUCCESS";            "The article has been successfully saved"
"TOUCH_ARTICLE_FORM_CREATE_SUCCESS";          "Article has been successfully created."
"TOUCH_ARTICLE_INVALID_REQUEST_METHOD";       "Invalid request method"
"TOUCH_ARTICLE_SEARCH";                       "Search Articles"
"TOUCH_ARTICLE_NOT_EXIST_OR_NOT_PUBLISHED";   "The article you are looking for does not exist or has not been published yet."
"TOUCH_ARTICLE_CAN_PUBLISH_BY";               "You can publish it by %1$sediting the articles%2$s."
"TOUCH_ARTICLE_BACK_TO_ARTICLE";              "Go Back To The Article"
"TOUCH_ARTICLE_UNTITLED_PHOTO";               "Untitled Photo"
"TOUCH_Search Articles";                      "Search Articles"
"TOUCH_RATE_REQUIRED_DESC";"Please install or enable 'Rate plugin', you can download it from the official site <a href='http://www.hire-experts.com/social-engine/rates-plugin'>Download!</a>"
"TOUCH_PAGEEVENT_NO_PAST"; "There are no past events yet."
"TOUCH_PAGEEVENT_NO_MY_EVENTS"; "You have not joined any events yet."

"TOUCH_HTML5_AUDIO_DOESNT_SUPPORT_MP3";     "The web browser on your device is not able to play MP3 audio formats :(. Sorry for the inconvenience."
"TOUCH_HTML5_AUDIO_DOESNT_SUPPORT";         "The web browser on your device does not support HTML5 Audio :(. Sorry for the inconvenience."
"TOUCH_MUSIC_SEARCH";                       "Search Music"

"TOUCH_Search Forum Posts";                   "Search Forum Posts"
"TOUCH_Search Music";                         "Search Music"

"TOUCH_Performance Settings"; "Performance Settings"
"TOUCH_FORM_ADMIN_SETTINGS_PERFORMANCE_DESCRIPTION"; "This functionality allows you to improve the performance of your Touch-Mobile Plugin and reduces the load on the server"
"TOUCH_FORM_ADMIN_SETTINGS_PERFORMANCE_ENABLE_DESCRIPTION"; "Enabling caching will decrease the CPU usage of your server and vastly will increase page load speed"
"TOUCH_FORM_ADMIN_SETTINGS_PERFORMANCE_MIN_LIFETIME_DESCRIPTION"; "This is a shorter cache lifetime that the system will keep cached data before reloading it from the server. It is recommended to set 20-30 seconds."
"TOUCH_FORM_ADMIN_SETTINGS_PERFORMANCE_MAX_LIFETIME_DESCRIPTION"; "This is a longest cache lifetime that the system will keep cached data before reloading it from the server. It is recommended to set 600-900 seconds(10-20 minutes)."
"TOUCH_FORM_ADMIN_SETTINGS_PERFORMANCE_TYPE_DESCRIPTION"; "It works only if client's mobile browser supports HTML5 Web Storage API"
"TOUCH_Use Client Side Cache?"; "Use Client Side Cache?"
"TOUCH_Cache Minimum Lifetime";"Cache Minimum Lifetime"
"TOUCH_Cache Maximum Lifetime"; "Cache Maximum Lifetime"
"TOUCH_Select"; "Select"
"TOUCH_Maximum lifetime must be greater than minimum lifetime"; "Maximum lifetime must be greater than minimum lifetime"
"TOUCH_Note: Your site is in development mode. So all previous client side caches will be cleared at each page refresh.";"Note: Your site is in development mode. So all previous client side caches will be cleared at each page refresh."

"TOUCH_The browser on your mobile device does not support"; "The browser on your mobile device does not support"
"TOUCH_Java Script Language";"Java Script Language"
"TOUCH_AJAX technology";"AJAX technology"
"TOUCH_HTML5 Storage API";"HTML5 Storage API"

"Chat panel";"Chat panel"
"Standard";"Standard"
"his is version of the site allows you to access using modern mobile devices(iPhone, Android, BlackBerry, iPad and many more). It requires mobile devices to support at least Javascript and Ajax"; "This site version allows you to access via modern mobile devices(iPhone, Android, BlackBerry, iPad and many more). It requires mobile devices to support Javascript and Ajax."
"TOUCH_This browser does not meet some requirements"; "Unfortunately your browser does not support this page. Please make sure that you have latest version of OS and browser."
"TOUCH_You can import videos from www.youtube.com or www.vimeo.com only"; "You can embed youtube and vimeo videos only."
"TOUCH_Unread_Messages";" Unread Messages"
"TOUCH_Unread_Message";" Unread Message"
"TOUCH_You have no playlist on this page."; "You have no playlist on this page."
"TOUCH_We're down for maintenance. You cannot upload photo with Picup Application.";"We're down for maintenance. You cannot upload photo with Picup Application, please try again later. Sorry for inconvenience."
"TOUCH_My Playlists"; "My Playlists"
"HE - Touch-Mobile";"HE - Touch-Mobile"
"TOUCH_Get Started"; "Get Started"
"TOUCH_Edit Layout"; "Edit Layout"
"TOUCH_Edit Theme";"Edit Theme"
"TOUCH_Edit Menus";"Edit Menus"
"TOUCH_Manage Integrations";"Manage Integrations"
"TOUCH_Performance Settings";"Performance Settings"
"TOUCH_Get More Hire-Expert's Plugins";"Get More Plugins from Hire-Experts"
"TOUCH_Total Integration count: %s"; "Total Integration count: <span style='font-weight: bold'>%s</span>"
"TOUCH_Powered By";"Powered By"
"TOUCH_potential";"Potential"
"TOUCH_expired";"Expired"
"TOUCH_incompatible";"Incompatible"
"TOUCH_compatible";"Compatible"
"TOUCH_Enable Selected";"Enable Selected"
"TOUCH_Disable Selected";"Disable Selected"
"TOUCH_Compatibility";"Compatibility"
"wl";"webligo extra"
"he";"HE extra"
"TOUCH_COMPATIBILITY_DESC_COMPATIBLE"; "Integration is compatible with %s"
"TOUCH_COMPATIBILITY_DESC_POTENTIAL"; "Integration potentially can be used but there is no %s Plugin installed or the plugin is disabled"
"TOUCH_COMPATIBILITY_DESC_EXPIRED"; "Integration is compatible with older version of %s. It may work not consistently"
"TOUCH_COMPATIBILITY_DESC_INCOMPATIBLE"; "It recommends that %s"
"TOUCH_HIDE"; "hide"
"TOUCH_SHOW"; "show"
"TOUCH_Via Touch Mobile"; "Via Touch Mobile"
"_CORE_ADMIN_STATS_TOUCH_CORE_COMMENTS"; "Comments via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_CORE_LIKES"; "Likes via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_CORE_VIEWS"; "Page views via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_MESSAGES_CREATIONS";"Sign-ups via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_USER_FRIENDSHIPS";"New friendships via Touch-Mobile"
"_CORE_ADMIN_STATS_TOUCH_USER_LOGINS"; "Sign-ins via Touch-Mobile"
"TOUCH_NOT_INTEGRATED_PAGE";"This page is not yet integrated in Touch version of the site and may work unstable"
"TOUCH_ADMINS_VIEW_ONLY_MESS";"(this message is shown to administrators only)"
"TOUCH_tl_profile_info"; "About"
"TOUCH_tl_no_cover_photo"; "No cover photo"
"TOUCH_tl_no_born_photo"; "No born photo"
"TOUCH_Setting Home Screen Icon"; "Configure Home Screen Icon"
"TOUCH_Original Image";"Original Image"
"TOUCH_Homescreen Preview"; "Homescreen Preview"
"TOUCH_Choose New Image"; "Choose New Image"
"TOUCH_Enable Homescreen?";"Enable Homescreen?"
"TOUCH_Save Settings";"Save Settings"
"TOUCH_Set Touch mode as default";"Display touch site for all visits (mobile/tablet/PC) by default:"
"TOUCH_Display only integrated Pages";"Display only supported features (pages) and display Not Found page for others:"
"TOUCH_Touch mode as default for tablets";"Display touch site for tablets (iPad,Galaxy Tab, etc):"
"TOUCH_Set Home Screen Icon";"Set Home Screen Icon"
"TOUCH_Compare Actitvity Stats";"Compare Activity Stats"
"TOUCH_Stats Counter Global Stats";"Worldwide Mobile Stats"
"TOUCH_On Standard Site";"On Standard Site"
"TOUCH_Please Wait...";"Please Wait..."
"TOUCH_Get More Hire-Expert's Plugins ";"Get More Hire-Expert's Plugins "